subject;object;predicate;0/1
http://dbpedia.org/resource/Arnall_Patz;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Presidential_Medal_of_Freedom;1
http://dbpedia.org/resource/Arnall_Patz;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/E._Mead_Johnson_Award;1
http://dbpedia.org/resource/Arnall_Patz;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Lasker-DeBakey_Clinical_Medical_Research_Award;1
http://dbpedia.org/resource/David_Keightley;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/MacArthur_Fellows_Program;1
http://dbpedia.org/resource/David_Keightley;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Guggenheim_Fellowship;1
http://dbpedia.org/resource/Donald_Hopkins;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/MacArthur_Fellows_Program;1
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/NAS_Award_in_Molecular_Biology;1
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Breakthrough_Prize_in_Life_Sciences;1
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Vilcek_Foundation;1
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/ACS_Award_in_Pure_Chemistry;1
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Sackler_Prize;1
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Max_Delbruck_Prize;1
http://dbpedia.org/resource/Xiaowei_Zhuang;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/MacArthur_Fellows_Program;1
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Canada_Research_Chair;1
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/American_Institute_of_Physics;1
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Steacie_Prize;1
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Rutherford_Memorial_Medal;1
http://dbpedia.org/resource/Ray_Jayawardhana;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/American_Physical_Society;1
http://dbpedia.org/resource/George_C._Clerk;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Fulbright_Program;1
http://dbpedia.org/resource/James_Unnever;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Academy_of_Criminal_Justice_Sciences;1
http://dbpedia.org/resource/Malcolm_Baker;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/The_Journal_of_Finance;1
http://dbpedia.org/resource/Mike_Paterson;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/European_Association_for_Theoretical_Computer_Science;1
http://dbpedia.org/resource/Mike_Paterson;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Dijkstra_Prize;1
http://dbpedia.org/resource/Mona_Lynch;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Law_and_Society_Association;1
http://dbpedia.org/resource/Robin_Engel;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/International_Association_of_Chiefs_of_Police;1
http://dbpedia.org/resource/John_C._Crabbe;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Research_Society_on_Alcoholism;1
http://dbpedia.org/resource/Charles_Geschke;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Marconi_Prize;1
http://dbpedia.org/resource/Charles_Geschke;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/National_Medal_of_Technology_and_Innovation;1
http://dbpedia.org/resource/Charles_Geschke;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/David_Packard_Medal_of_Achievement;1
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/King_Faisal_Prize;1
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/MacArthur_Fellows_Program;1
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Lilienfeld_Prize;1
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Sakurai_Prize;1
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nobel_Prize_in_Physics;1
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Dirac_Medal;1
http://dbpedia.org/resource/Frank_Wilczek;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Lorentz_Medal;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/IEEE_Medal_of_Honor;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Computer_History_Museum;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Othmer_Gold_Medal;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/John_Fritz_Medal;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Perkin_Medal;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nierenberg_Prize;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Presidential_Medal_of_Freedom;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/National_Medal_of_Technology_and_Innovation;1
http://dbpedia.org/resource/Gordon_Moore;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/IEEE_Founders_Medal;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Princess_of_Asturias_Awards;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Gruber_Prize_in_Cosmology;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Nobel_Prize_in_Physics;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Lewis_Thomas_Prize;1
http://dbpedia.org/resource/Kip_Thorne;http://dbpedia.org/ontology/award;http://dbpedia.org/resource/Shaw_Prize;1
